mark,symbol,position,time_fraction
colon,:,8,0.0
colon,:,37,0.0001
colon,:,53,0.0001
colon,:,56,0.0001
full_stop,.,59,0.0001
comma,",",68,0.0001
colon,:,90,0.0002
colon,:,106,0.0002
colon,:,109,0.0002
full_stop,.,112,0.0002
comma,",",121,0.0002
colon,:,134,0.0002
comma,",",140,0.0002
colon,:,152,0.0003
comma,",",160,0.0003
colon,:,172,0.0003
exclamation,!,197,0.0003
full_stop,.,317,0.0005
comma,",",341,0.0006
full_stop,.,443,0.0007
colon,:,463,0.0008
colon,:,489,0.0008
colon,:,709,0.0012
question_mark,?,865,0.0014
comma,",",1093,0.0018
question_mark,?,1174,0.002
comma,",",1181,0.002
comma,",",1188,0.002
full_stop,.,1257,0.0021
comma,",",1330,0.0022
comma,",",1399,0.0023
full_stop,.,1413,0.0024
exclamation,!,1541,0.0026
comma,",",1543,0.0026
colon,:,1560,0.0026
colon,:,1662,0.0028
colon,:,1691,0.0028
colon,:,1707,0.0029
colon,:,1710,0.0029
full_stop,.,1713,0.0029
comma,",",1722,0.0029
colon,:,1744,0.0029
colon,:,1760,0.0029
colon,:,1763,0.003
full_stop,.,1766,0.003
comma,",",1775,0.003
colon,:,1788,0.003
comma,",",1794,0.003
colon,:,1806,0.003
comma,",",1814,0.003
colon,:,1826,0.0031
comma,",",1832,0.0031
exclamation,!,1860,0.0031
comma,",",1929,0.0032
full_stop,.,2047,0.0034
comma,",",2158,0.0036
full_stop,.,2192,0.0037
colon,:,2232,0.0037
colon,:,2253,0.0038
comma,",",2467,0.0041
comma,",",2590,0.0043
comma,",",2693,0.0045
full_stop,.,2803,0.0047
comma,",",2845,0.0048
question_mark,?,3001,0.005
comma,",",3016,0.0051
exclamation,!,3166,0.0053
comma,",",3181,0.0053
colon,:,3198,0.0054
colon,:,3300,0.0055
colon,:,3329,0.0056
colon,:,3345,0.0056
colon,:,3348,0.0056
full_stop,.,3351,0.0056
comma,",",3360,0.0056
colon,:,3382,0.0057
colon,:,3398,0.0057
colon,:,3401,0.0057
full_stop,.,3404,0.0057
comma,",",3413,0.0057
colon,:,3426,0.0057
comma,",",3432,0.0058
colon,:,3444,0.0058
comma,",",3452,0.0058
colon,:,3464,0.0058
exclamation,!,3470,0.0058
exclamation,!,3526,0.0059
full_stop,.,3562,0.006
comma,",",3611,0.0061
full_stop,.,3659,0.0061
comma,",",3679,0.0062
comma,",",3688,0.0062
full_stop,.,3706,0.0062
full_stop,.,3799,0.0064
colon,:,3862,0.0065
comma,",",3882,0.0065
comma,",",3935,0.0066
full_stop,.,4082,0.0068
question_mark,?,4122,0.0069
question_mark,?,4254,0.0071
comma,",",4256,0.0071
colon,:,4273,0.0072
colon,:,4375,0.0073
colon,:,4404,0.0074
colon,:,4420,0.0074
colon,:,4423,0.0074
full_stop,.,4426,0.0074
comma,",",4435,0.0074
colon,:,4457,0.0075
colon,:,4473,0.0075
colon,:,4476,0.0075
full_stop,.,4479,0.0075
comma,",",4488,0.0075
colon,:,4501,0.0075
comma,",",4507,0.0076
colon,:,4519,0.0076
comma,",",4527,0.0076
colon,:,4539,0.0076
comma,",",4549,0.0076
exclamation,!,4586,0.0077
colon,:,4620,0.0077
comma,",",4926,0.0083
question_mark,?,4972,0.0083
colon,:,5027,0.0084
question_mark,?,5084,0.0085
question_mark,?,5161,0.0086
question_mark,?,5202,0.0087
question_mark,?,5280,0.0088
comma,",",5358,0.009
full_stop,.,5467,0.0092
full_stop,.,5559,0.0093
comma,",",5593,0.0094
question_mark,?,5643,0.0095
comma,",",5645,0.0095
colon,:,5662,0.0095
colon,:,5764,0.0097
colon,:,5793,0.0097
colon,:,5809,0.0097
colon,:,5812,0.0097
full_stop,.,5815,0.0097
comma,",",5824,0.0098
colon,:,5846,0.0098
colon,:,5862,0.0098
colon,:,5865,0.0098
full_stop,.,5868,0.0098
comma,",",5877,0.0098
colon,:,5890,0.0099
comma,",",5896,0.0099
colon,:,5908,0.0099
comma,",",5916,0.0099
colon,:,5928,0.0099
question_mark,?,5940,0.01
full_stop,.,6128,0.0103
colon,:,6153,0.0103
colon,:,6221,0.0104
full_stop,.,6476,0.0109
comma,",",6591,0.011
question_mark,?,6643,0.0111
full_stop,.,6756,0.0113
full_stop,.,6803,0.0114
full_stop,.,6951,0.0116
full_stop,.,7097,0.0119
full_stop,.,7172,0.012
question_mark,?,7217,0.0121
comma,",",7219,0.0121
colon,:,7236,0.0121
colon,:,7338,0.0123
colon,:,7367,0.0123
colon,:,7383,0.0124
colon,:,7386,0.0124
full_stop,.,7389,0.0124
comma,",",7398,0.0124
colon,:,7420,0.0124
colon,:,7436,0.0125
colon,:,7439,0.0125
full_stop,.,7442,0.0125
comma,",",7451,0.0125
colon,:,7464,0.0125
comma,",",7470,0.0125
colon,:,7482,0.0125
comma,",",7490,0.0126
colon,:,7502,0.0126
full_stop,.,7529,0.0126
full_stop,.,7646,0.0128
colon,:,7682,0.0129
comma,",",7731,0.013
full_stop,.,7754,0.013
full_stop,.,7877,0.0132
colon,:,7902,0.0132
full_stop,.,8018,0.0134
full_stop,.,8070,0.0135
comma,",",8149,0.0137
comma,",",8226,0.0138
full_stop,.,8282,0.0139
full_stop,.,8350,0.014
full_stop,.,8415,0.0141
full_stop,.,8483,0.0142
question_mark,?,8597,0.0144
full_stop,.,8642,0.0145
question_mark,?,8746,0.0147
comma,",",8748,0.0147
colon,:,8765,0.0147
colon,:,8867,0.0149
colon,:,8896,0.0149
colon,:,8912,0.0149
colon,:,8915,0.0149
full_stop,.,8918,0.0149
comma,",",8927,0.015
colon,:,8949,0.015
colon,:,8965,0.015
colon,:,8968,0.015
full_stop,.,8971,0.015
comma,",",8980,0.015
colon,:,8993,0.0151
comma,",",8999,0.0151
colon,:,9011,0.0151
comma,",",9019,0.0151
colon,:,9031,0.0151
full_stop,.,9056,0.0152
full_stop,.,9201,0.0154
comma,",",9227,0.0155
full_stop,.,9261,0.0155
full_stop,.,9438,0.0158
full_stop,.,9481,0.0159
comma,",",9568,0.016
full_stop,.,9639,0.0162
full_stop,.,9718,0.0163
full_stop,.,9753,0.0163
comma,",",9755,0.0163
colon,:,9772,0.0164
colon,:,9874,0.0165
colon,:,9903,0.0166
colon,:,9919,0.0166
colon,:,9922,0.0166
full_stop,.,9925,0.0166
comma,",",9934,0.0166
colon,:,9956,0.0167
colon,:,9972,0.0167
colon,:,9975,0.0167
full_stop,.,9978,0.0167
comma,",",9987,0.0167
colon,:,10000,0.0168
comma,",",10006,0.0168
colon,:,10018,0.0168
comma,",",10026,0.0168
colon,:,10038,0.0168
full_stop,.,10169,0.017
question_mark,?,10200,0.0171
exclamation,!,10232,0.0171
comma,",",10234,0.0171
colon,:,10251,0.0172
colon,:,10353,0.0173
colon,:,10382,0.0174
colon,:,10398,0.0174
colon,:,10401,0.0174
full_stop,.,10404,0.0174
comma,",",10413,0.0174
colon,:,10435,0.0175
colon,:,10451,0.0175
colon,:,10454,0.0175
full_stop,.,10457,0.0175
comma,",",10466,0.0175
colon,:,10479,0.0176
comma,",",10485,0.0176
colon,:,10497,0.0176
comma,",",10505,0.0176
colon,:,10517,0.0176
full_stop,.,10557,0.0177
full_stop,.,10608,0.0178
full_stop,.,10737,0.018
comma,",",10796,0.0181
comma,",",10818,0.0181
full_stop,.,10837,0.0182
full_stop,.,10959,0.0184
comma,",",11011,0.0185
full_stop,.,11060,0.0185
full_stop,.,11217,0.0188
full_stop,.,11317,0.019
full_stop,.,11334,0.019
question_mark,?,11368,0.019
comma,",",11370,0.0191
colon,:,11387,0.0191
colon,:,11489,0.0193
colon,:,11518,0.0193
colon,:,11534,0.0193
colon,:,11537,0.0193
full_stop,.,11540,0.0193
comma,",",11549,0.0194
colon,:,11571,0.0194
colon,:,11587,0.0194
colon,:,11590,0.0194
full_stop,.,11593,0.0194
comma,",",11602,0.0194
colon,:,11615,0.0195
comma,",",11621,0.0195
colon,:,11633,0.0195
comma,",",11641,0.0195
colon,:,11653,0.0195
full_stop,.,11668,0.0196
full_stop,.,11696,0.0196
comma,",",11825,0.0198
full_stop,.,11877,0.0199
full_stop,.,11982,0.0201
full_stop,.,12054,0.0202
comma,",",12092,0.0203
full_stop,.,12112,0.0203
question_mark,?,12188,0.0204
comma,",",12294,0.0206
full_stop,.,12358,0.0207
full_stop,.,12402,0.0208
full_stop,.,12552,0.021
comma,",",12602,0.0211
question_mark,?,12619,0.0211
comma,",",12621,0.0211
colon,:,12638,0.0212
colon,:,12740,0.0213
colon,:,12769,0.0214
colon,:,12785,0.0214
colon,:,12788,0.0214
full_stop,.,12791,0.0214
comma,",",12800,0.0214
colon,:,12822,0.0215
colon,:,12838,0.0215
colon,:,12841,0.0215
full_stop,.,12844,0.0215
comma,",",12853,0.0215
colon,:,12866,0.0216
comma,",",12872,0.0216
colon,:,12884,0.0216
comma,",",12892,0.0216
colon,:,12904,0.0216
full_stop,.,12950,0.0217
colon,:,12985,0.0218
full_stop,.,13294,0.0223
colon,:,13335,0.0223
comma,",",13391,0.0224
comma,",",13473,0.0226
comma,",",13669,0.0229
question_mark,?,13749,0.023
comma,",",13780,0.0231
full_stop,.,13841,0.0232
comma,",",13899,0.0233
full_stop,.,14017,0.0235
full_stop,.,14060,0.0236
comma,",",14062,0.0236
colon,:,14079,0.0236
colon,:,14181,0.0238
colon,:,14210,0.0238
colon,:,14226,0.0238
colon,:,14229,0.0238
full_stop,.,14232,0.0238
comma,",",14241,0.0239
colon,:,14263,0.0239
colon,:,14279,0.0239
colon,:,14282,0.0239
full_stop,.,14285,0.0239
comma,",",14294,0.024
colon,:,14307,0.024
comma,",",14313,0.024
colon,:,14325,0.024
comma,",",14333,0.024
colon,:,14345,0.024
comma,",",14481,0.0243
full_stop,.,14541,0.0244
colon,:,14604,0.0245
comma,",",14798,0.0248
full_stop,.,14846,0.0249
full_stop,.,14885,0.0249
full_stop,.,14988,0.0251
full_stop,.,15013,0.0252
question_mark,?,15054,0.0252
comma,",",15056,0.0252
colon,:,15073,0.0253
colon,:,15175,0.0254
colon,:,15204,0.0255
colon,:,15220,0.0255
colon,:,15223,0.0255
full_stop,.,15226,0.0255
comma,",",15235,0.0255
colon,:,15257,0.0256
colon,:,15273,0.0256
colon,:,15276,0.0256
full_stop,.,15279,0.0256
comma,",",15288,0.0256
colon,:,15301,0.0256
comma,",",15307,0.0256
colon,:,15319,0.0257
comma,",",15327,0.0257
colon,:,15339,0.0257
question_mark,?,15351,0.0257
full_stop,.,15383,0.0258
full_stop,.,15429,0.0259
comma,",",15461,0.0259
comma,",",15511,0.026
full_stop,.,15616,0.0262
full_stop,.,15636,0.0262
full_stop,.,15742,0.0264
full_stop,.,15780,0.0264
comma,",",15839,0.0265
comma,",",15848,0.0266
full_stop,.,15939,0.0267
full_stop,.,15983,0.0268
full_stop,.,16060,0.0269
full_stop,.,16226,0.0272
full_stop,.,16299,0.0273
full_stop,.,16385,0.0275
full_stop,.,16479,0.0276
comma,",",16495,0.0276
comma,",",16512,0.0277
full_stop,.,16548,0.0277
full_stop,.,16620,0.0278
full_stop,.,16723,0.028
full_stop,.,16739,0.028
full_stop,.,16788,0.0281
